figure,task,method,train_N,seed,split_rule,primary_metrics
Figure 3,3D z_bottom posterior,vanilla_3d_diffusion,1000,20260605,group by latent config_id; OOD-deep held out for OOD gate,"MAE, CRPS/WIS90, Cov90/Width90, AUROC_fail, retained-risk"
Figure 3,3D z_bottom posterior,vanilla_3d_diffusion,1000,20260606,group by latent config_id; OOD-deep held out for OOD gate,"MAE, CRPS/WIS90, Cov90/Width90, AUROC_fail, retained-risk"
Figure 3,3D z_bottom posterior,vanilla_3d_diffusion,1600,20260604,group by latent config_id; OOD-deep held out for OOD gate,"MAE, CRPS/WIS90, Cov90/Width90, AUROC_fail, retained-risk"
Figure 3,3D z_bottom posterior,vanilla_3d_diffusion,1600,20260605,group by latent config_id; OOD-deep held out for OOD gate,"MAE, CRPS/WIS90, Cov90/Width90, AUROC_fail, retained-risk"
Figure 3,3D z_bottom posterior,vanilla_3d_diffusion,1600,20260606,group by latent config_id; OOD-deep held out for OOD gate,"MAE, CRPS/WIS90, Cov90/Width90, AUROC_fail, retained-risk"
Figure 3,3D z_bottom posterior,vanilla_3d_diffusion,3000,20260604,group by latent config_id; OOD-deep held out for OOD gate,"MAE, CRPS/WIS90, Cov90/Width90, AUROC_fail, retained-risk"
Figure 3,3D z_bottom posterior,vanilla_3d_diffusion,3000,20260605,group by latent config_id; OOD-deep held out for OOD gate,"MAE, CRPS/WIS90, Cov90/Width90, AUROC_fail, retained-risk"
Figure 3,3D z_bottom posterior,vanilla_3d_diffusion,3000,20260606,group by latent config_id; OOD-deep held out for OOD gate,"MAE, CRPS/WIS90, Cov90/Width90, AUROC_fail, retained-risk"
Figure 3,3D z_bottom posterior,vanilla_3d_diffusion,5000,20260604,group by latent config_id; OOD-deep held out for OOD gate,"MAE, CRPS/WIS90, Cov90/Width90, AUROC_fail, retained-risk"
Figure 3,3D z_bottom posterior,vanilla_3d_diffusion,5000,20260605,group by latent config_id; OOD-deep held out for OOD gate,"MAE, CRPS/WIS90, Cov90/Width90, AUROC_fail, retained-risk"
Figure 3,3D z_bottom posterior,vanilla_3d_diffusion,5000,20260606,group by latent config_id; OOD-deep held out for OOD gate,"MAE, CRPS/WIS90, Cov90/Width90, AUROC_fail, retained-risk"
Figure 3,3D z_bottom posterior,dps_inverse_diffusion,100,20260604,group by latent config_id; OOD-deep held out for OOD gate,"MAE, CRPS/WIS90, Cov90/Width90, AUROC_fail, retained-risk"
Figure 3,3D z_bottom posterior,dps_inverse_diffusion,100,20260605,group by latent config_id; OOD-deep held out for OOD gate,"MAE, CRPS/WIS90, Cov90/Width90, AUROC_fail, retained-risk"
Figure 3,3D z_bottom posterior,dps_inverse_diffusion,100,20260606,group by latent config_id; OOD-deep held out for OOD gate,"MAE, CRPS/WIS90, Cov90/Width90, AUROC_fail, retained-risk"
Figure 3,3D z_bottom posterior,dps_inverse_diffusion,250,20260604,group by latent config_id; OOD-deep held out for OOD gate,"MAE, CRPS/WIS90, Cov90/Width90, AUROC_fail, retained-risk"
Figure 3,3D z_bottom posterior,dps_inverse_diffusion,250,20260605,group by latent config_id; OOD-deep held out for OOD gate,"MAE, CRPS/WIS90, Cov90/Width90, AUROC_fail, retained-risk"
Figure 3,3D z_bottom posterior,dps_inverse_diffusion,250,20260606,group by latent config_id; OOD-deep held out for OOD gate,"MAE, CRPS/WIS90, Cov90/Width90, AUROC_fail, retained-risk"
Figure 3,3D z_bottom posterior,dps_inverse_diffusion,500,20260604,group by latent config_id; OOD-deep held out for OOD gate,"MAE, CRPS/WIS90, Cov90/Width90, AUROC_fail, retained-risk"
Figure 3,3D z_bottom posterior,dps_inverse_diffusion,500,20260605,group by latent config_id; OOD-deep held out for OOD gate,"MAE, CRPS/WIS90, Cov90/Width90, AUROC_fail, retained-risk"
Figure 3,3D z_bottom posterior,dps_inverse_diffusion,500,20260606,group by latent config_id; OOD-deep held out for OOD gate,"MAE, CRPS/WIS90, Cov90/Width90, AUROC_fail, retained-risk"
Figure 3,3D z_bottom posterior,dps_inverse_diffusion,1000,20260604,group by latent config_id; OOD-deep held out for OOD gate,"MAE, CRPS/WIS90, Cov90/Width90, AUROC_fail, retained-risk"
Figure 3,3D z_bottom posterior,dps_inverse_diffusion,1000,20260605,group by latent config_id; OOD-deep held out for OOD gate,"MAE, CRPS/WIS90, Cov90/Width90, AUROC_fail, retained-risk"
Figure 3,3D z_bottom posterior,dps_inverse_diffusion,1000,20260606,group by latent config_id; OOD-deep held out for OOD gate,"MAE, CRPS/WIS90, Cov90/Width90, AUROC_fail, retained-risk"
Figure 3,3D z_bottom posterior,dps_inverse_diffusion,1600,20260604,group by latent config_id; OOD-deep held out for OOD gate,"MAE, CRPS/WIS90, Cov90/Width90, AUROC_fail, retained-risk"
Figure 3,3D z_bottom posterior,dps_inverse_diffusion,1600,20260605,group by latent config_id; OOD-deep held out for OOD gate,"MAE, CRPS/WIS90, Cov90/Width90, AUROC_fail, retained-risk"
Figure 3,3D z_bottom posterior,dps_inverse_diffusion,1600,20260606,group by latent config_id; OOD-deep held out for OOD gate,"MAE, CRPS/WIS90, Cov90/Width90, AUROC_fail, retained-risk"
Figure 3,3D z_bottom posterior,dps_inverse_diffusion,3000,20260604,group by latent config_id; OOD-deep held out for OOD gate,"MAE, CRPS/WIS90, Cov90/Width90, AUROC_fail, retained-risk"
Figure 3,3D z_bottom posterior,dps_inverse_diffusion,3000,20260605,group by latent config_id; OOD-deep held out for OOD gate,"MAE, CRPS/WIS90, Cov90/Width90, AUROC_fail, retained-risk"
Figure 3,3D z_bottom posterior,dps_inverse_diffusion,3000,20260606,group by latent config_id; OOD-deep held out for OOD gate,"MAE, CRPS/WIS90, Cov90/Width90, AUROC_fail, retained-risk"
Figure 3,3D z_bottom posterior,dps_inverse_diffusion,5000,20260604,group by latent config_id; OOD-deep held out for OOD gate,"MAE, CRPS/WIS90, Cov90/Width90, AUROC_fail, retained-risk"
Figure 3,3D z_bottom posterior,dps_inverse_diffusion,5000,20260605,group by latent config_id; OOD-deep held out for OOD gate,"MAE, CRPS/WIS90, Cov90/Width90, AUROC_fail, retained-risk"
Figure 3,3D z_bottom posterior,dps_inverse_diffusion,5000,20260606,group by latent config_id; OOD-deep held out for OOD gate,"MAE, CRPS/WIS90, Cov90/Width90, AUROC_fail, retained-risk"
Figure 3,3D z_bottom posterior,op_conditioned_diffusion_ours,100,20260604,group by latent config_id; OOD-deep held out for OOD gate,"MAE, CRPS/WIS90, Cov90/Width90, AUROC_fail, retained-risk"
Figure 3,3D z_bottom posterior,op_conditioned_diffusion_ours,100,20260605,group by latent config_id; OOD-deep held out for OOD gate,"MAE, CRPS/WIS90, Cov90/Width90, AUROC_fail, retained-risk"
Figure 3,3D z_bottom posterior,op_conditioned_diffusion_ours,100,20260606,group by latent config_id; OOD-deep held out for OOD gate,"MAE, CRPS/WIS90, Cov90/Width90, AUROC_fail, retained-risk"
Figure 3,3D z_bottom posterior,op_conditioned_diffusion_ours,250,20260604,group by latent config_id; OOD-deep held out for OOD gate,"MAE, CRPS/WIS90, Cov90/Width90, AUROC_fail, retained-risk"
Figure 3,3D z_bottom posterior,op_conditioned_diffusion_ours,250,20260605,group by latent config_id; OOD-deep held out for OOD gate,"MAE, CRPS/WIS90, Cov90/Width90, AUROC_fail, retained-risk"
Figure 3,3D z_bottom posterior,op_conditioned_diffusion_ours,250,20260606,group by latent config_id; OOD-deep held out for OOD gate,"MAE, CRPS/WIS90, Cov90/Width90, AUROC_fail, retained-risk"
Figure 3,3D z_bottom posterior,op_conditioned_diffusion_ours,500,20260604,group by latent config_id; OOD-deep held out for OOD gate,"MAE, CRPS/WIS90, Cov90/Width90, AUROC_fail, retained-risk"
Figure 3,3D z_bottom posterior,op_conditioned_diffusion_ours,500,20260605,group by latent config_id; OOD-deep held out for OOD gate,"MAE, CRPS/WIS90, Cov90/Width90, AUROC_fail, retained-risk"
Figure 3,3D z_bottom posterior,op_conditioned_diffusion_ours,500,20260606,group by latent config_id; OOD-deep held out for OOD gate,"MAE, CRPS/WIS90, Cov90/Width90, AUROC_fail, retained-risk"
Figure 3,3D z_bottom posterior,op_conditioned_diffusion_ours,1000,20260604,group by latent config_id; OOD-deep held out for OOD gate,"MAE, CRPS/WIS90, Cov90/Width90, AUROC_fail, retained-risk"
Figure 3,3D z_bottom posterior,op_conditioned_diffusion_ours,1000,20260605,group by latent config_id; OOD-deep held out for OOD gate,"MAE, CRPS/WIS90, Cov90/Width90, AUROC_fail, retained-risk"
Figure 3,3D z_bottom posterior,op_conditioned_diffusion_ours,1000,20260606,group by latent config_id; OOD-deep held out for OOD gate,"MAE, CRPS/WIS90, Cov90/Width90, AUROC_fail, retained-risk"
Figure 3,3D z_bottom posterior,op_conditioned_diffusion_ours,1600,20260604,group by latent config_id; OOD-deep held out for OOD gate,"MAE, CRPS/WIS90, Cov90/Width90, AUROC_fail, retained-risk"
Figure 3,3D z_bottom posterior,op_conditioned_diffusion_ours,1600,20260605,group by latent config_id; OOD-deep held out for OOD gate,"MAE, CRPS/WIS90, Cov90/Width90, AUROC_fail, retained-risk"
Figure 3,3D z_bottom posterior,op_conditioned_diffusion_ours,1600,20260606,group by latent config_id; OOD-deep held out for OOD gate,"MAE, CRPS/WIS90, Cov90/Width90, AUROC_fail, retained-risk"
Figure 3,3D z_bottom posterior,op_conditioned_diffusion_ours,3000,20260604,group by latent config_id; OOD-deep held out for OOD gate,"MAE, CRPS/WIS90, Cov90/Width90, AUROC_fail, retained-risk"
Figure 3,3D z_bottom posterior,op_conditioned_diffusion_ours,3000,20260605,group by latent config_id; OOD-deep held out for OOD gate,"MAE, CRPS/WIS90, Cov90/Width90, AUROC_fail, retained-risk"
Figure 3,3D z_bottom posterior,op_conditioned_diffusion_ours,3000,20260606,group by latent config_id; OOD-deep held out for OOD gate,"MAE, CRPS/WIS90, Cov90/Width90, AUROC_fail, retained-risk"
Figure 3,3D z_bottom posterior,op_conditioned_diffusion_ours,5000,20260604,group by latent config_id; OOD-deep held out for OOD gate,"MAE, CRPS/WIS90, Cov90/Width90, AUROC_fail, retained-risk"
Figure 3,3D z_bottom posterior,op_conditioned_diffusion_ours,5000,20260605,group by latent config_id; OOD-deep held out for OOD gate,"MAE, CRPS/WIS90, Cov90/Width90, AUROC_fail, retained-risk"
Figure 3,3D z_bottom posterior,op_conditioned_diffusion_ours,5000,20260606,group by latent config_id; OOD-deep held out for OOD gate,"MAE, CRPS/WIS90, Cov90/Width90, AUROC_fail, retained-risk"
